what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374565239705
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374565248455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374565272432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374565272537
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374565272700
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1374565276877
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374565280754
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374565281603
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1374565284621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374565292665
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374565294482
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1374565294558
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1374565294638
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374565294910
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374565340967
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1374565343850
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1374565344542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374565346723
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374565346852
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374565349594
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374565349716
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1374565365711
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1374565374936
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1374565376035
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1374565381111
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.indent",1374565381460
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1374565382048
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1374565385957
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1374565387555
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1374565391468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374565393474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374565394754
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374565394806
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374565396957
error,log,,,"Cannot connect to VM",1374565397314
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374565397329
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374565398777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374565400583
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374565488783
executed,command,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.junitShortcut.debug",1374565494270
error,log,,,"Cannot connect to VM",1374565494538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374565494548
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374565496889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374565499517
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374565682227
error,log,,,"Cannot connect to VM",1374565682601
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374565682618
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374565683720
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374565704550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374565863026
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374565864526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374565902910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374565971151
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374566465612
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374566465963
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374566488659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374566489391
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374566538779
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1374566540174
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374566555126
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374566648517
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1374566656371
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1374566657327
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1374566662443
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1374566664065
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374566669176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374566674722
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1374566675123
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1374566675229
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1374566675821
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1374566681541
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1374566683447
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374566687478
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374566687608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374566689814
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374566689944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374566692398
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374566692537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374566697685
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374566697816
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374566699573
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374566699696
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374566701709
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374566701832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374566706925
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374566707047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374566710013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374566710161
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1374566717147
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1374566717375
